route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B42,EN_F0-Saturday-000000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B82,EN_F0-Saturday-000000_B82_101,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
B42,EN_F0-Saturday-001000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
Q24,EN_F0-Saturday-001000_Q24_X41,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
B82,EN_F0-Saturday-001800_B82_X31,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
B25,EN_F0-Saturday-002000_B25_201,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B42,EN_F0-Saturday-002000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
Q56,EN_F0-Saturday-002500_Q56_X51,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B42,EN_F0-Saturday-003000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
B25,EN_F0-Saturday-004000_B25_X11,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B42,EN_F0-Saturday-004000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-004000_B45_X21,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
Q24,EN_F0-Saturday-004300_Q24_X42,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
B42,EN_F0-Saturday-005000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
B82,EN_F0-Saturday-005300_B82_X32,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q56,EN_F0-Saturday-005500_Q56_X52,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
Q24,EN_F0-Saturday-005600_Q24_X43,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
B25,EN_F0-Saturday-005800_B25_201,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
B17,EN_F0-Saturday-006000_B17_101,EN_F0-Saturday,CANARSIE SEAVIEW AV,1,B170092
B42,EN_F0-Saturday-006000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-006000_B45_X22,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
Q24,EN_F0-Saturday-006500_Q24_X41,EN_F0-Saturday,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,Q240221
Q56,EN_F0-Saturday-006500_Q56_X51,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B25,EN_F0-Saturday-007000_B25_X12,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B42,EN_F0-Saturday-007000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
B82,EN_F0-Saturday-007000_B82_101,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
B82,EN_F0-Saturday-007000_B82_102,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q24,EN_F0-Saturday-007000_Q24_401,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
Q56,EN_F0-Saturday-007000_Q56_X53,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B12,EN_F0-Saturday-007500_B12_1,EN_F0-Saturday,LEFFERTS GARDENS OCEAN AV,1,B120127
B45,EN_F0-Saturday-007500_B45_X21,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
B25,EN_F0-Saturday-007800_B25_X11,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
B14,EN_F0-Saturday-008000_B14_1,EN_F0-Saturday,CROWN HEIGHTS UTICA AV,1,B140128
B42,EN_F0-Saturday-008000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-008000_B45_X23,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
B82,EN_F0-Saturday-008500_B82_X31,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
B82,EN_F0-Saturday-008500_B82_X33,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q56,EN_F0-Saturday-008500_Q56_X54,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B25,EN_F0-Saturday-008900_B25_X13,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B15,EN_F0-Saturday-009000_B15_X01,EN_F0-Saturday,SPRING CREEK DREW ST LINDEN BL,0,B150255
B17,EN_F0-Saturday-009000_B17_101,EN_F0-Saturday,CROWN HEIGHTS EASTERN PKY,0,B170093
B42,EN_F0-Saturday-009000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
Q24,EN_F0-Saturday-009000_Q24_X44,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
Q56,EN_F0-Saturday-009300_Q56_X52,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B45,EN_F0-Saturday-009500_B45_X22,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
B42,EN_F0-Saturday-010000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-010000_B45_X24,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
B82,EN_F0-Saturday-010000_B82_X34,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q24,EN_F0-Saturday-010000_Q24_X42,EN_F0-Saturday,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,Q240221
Q56,EN_F0-Saturday-010000_Q56_501,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B15,EN_F0-Saturday-010500_B15_101,EN_F0-Saturday,JFK AIRPORT,0,B150003
Q56,EN_F0-Saturday-010600_Q56_X53,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B25,EN_F0-Saturday-010900_B25_201,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B12,EN_F0-Saturday-011000_B12_1,EN_F0-Saturday,EAST NEW YORK ALABAMA AV,0,B120128
B42,EN_F0-Saturday-011000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
Q24,EN_F0-Saturday-011000_Q24_X45,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
B25,EN_F0-Saturday-011100_B25_X12,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
B12,EN_F0-Saturday-011500_B12_2,EN_F0-Saturday,LEFFERTS GARDENS OCEAN AV,1,B120127
B45,EN_F0-Saturday-011500_B45_X23,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
Q56,EN_F0-Saturday-011500_Q56_X51,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B14,EN_F0-Saturday-011700_B14_1,EN_F0-Saturday,SPRING CREEK STANLEY AV POSTAL FAC,0,B140129
B17,EN_F0-Saturday-012000_B17_101,EN_F0-Saturday,CANARSIE SEAVIEW AV,1,B170092
B42,EN_F0-Saturday-012000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-012000_B45_X21,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
B82,EN_F0-Saturday-012000_B82_X32,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
B82,EN_F0-Saturday-012000_B82_X35,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q56,EN_F0-Saturday-012000_Q24_401,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
Q24,EN_F0-Saturday-012000_Q24_X43,EN_F0-Saturday,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,Q240221
B25,EN_F0-Saturday-012400_B25_X13,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
B15,EN_F0-Saturday-013000_B15_102,EN_F0-Saturday,JFK AIRPORT,0,B150003
B42,EN_F0-Saturday-013000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
Q24,EN_F0-Saturday-013000_Q24_402,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
Q56,EN_F0-Saturday-013000_Q56_X52,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B25,EN_F0-Saturday-013400_B25_X11,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B45,EN_F0-Saturday-013500_B45_X24,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
Q56,EN_F0-Saturday-013500_Q56_X54,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B42,EN_F0-Saturday-014000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-014000_B45_X22,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
B82,EN_F0-Saturday-014000_B82_101,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
B82,EN_F0-Saturday-014000_B82_102,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
Q24,EN_F0-Saturday-014000_Q56_501,EN_F0-Saturday,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,Q240221
B25,EN_F0-Saturday-014400_B25_201,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
Q56,EN_F0-Saturday-014500_Q56_X53,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B12,EN_F0-Saturday-015000_B12_2,EN_F0-Saturday,EAST NEW YORK ALABAMA AV,0,B120128
B14,EN_F0-Saturday-015000_B14_1,EN_F0-Saturday,CROWN HEIGHTS UTICA AV,1,B140128
B15,EN_F0-Saturday-015000_B15_103,EN_F0-Saturday,JFK AIRPORT,0,B150003
B17,EN_F0-Saturday-015000_B17_101,EN_F0-Saturday,CROWN HEIGHTS EASTERN PKY,0,B170093
B42,EN_F0-Saturday-015000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
Q24,EN_F0-Saturday-015000_Q24_X42,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
Q56,EN_F0-Saturday-015000_Q56_X51,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B12,EN_F0-Saturday-015500_B12_1,EN_F0-Saturday,LEFFERTS GARDENS OCEAN AV,1,B120127
B45,EN_F0-Saturday-015500_B45_X21,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
B82,EN_F0-Saturday-015500_B82_X33,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
B25,EN_F0-Saturday-015900_B25_X12,EN_F0-Saturday,DOWNTOWN BKLYN FRONT ST via FULTON,1,B250070
B42,EN_F0-Saturday-016000_B42_1,EN_F0-Saturday,CANARSIE PIER,1,B420007
B45,EN_F0-Saturday-016000_B45_X23,EN_F0-Saturday,DOWNTOWN BKLYN COURT ST,1,B450035
B82,EN_F0-Saturday-016000_B82_X31,EN_F0-Saturday,CONEY ISLAND STILLWELL AV via FLATLANDS,1,B820023
Q56,EN_F0-Saturday-016000_Q24_401,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
Q24,EN_F0-Saturday-016000_Q24_X44,EN_F0-Saturday,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,Q240221
B15,EN_F0-Saturday-016500_B15_104,EN_F0-Saturday,JFK AIRPORT,0,B150003
Q56,EN_F0-Saturday-016500_Q56_X52,EN_F0-Saturday,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,Q560571
B25,EN_F0-Saturday-016900_B25_X11,EN_F0-Saturday,BROADWAY JCT ALABAMA AV via FULTON,0,B250073
B42,EN_F0-Saturday-017000_B42_1,EN_F0-Saturday,ROCKAWAY PKY STA,0,B420008
B82,EN_F0-Saturday-017000_B82_X34,EN_F0-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820020
Q24,EN_F0-Saturday-017000_Q24_X43,EN_F0-Saturday,JAMAICA 168 ST via ATLANTIC,0,Q240220
B45,EN_F0-Saturday-017500_B45_X22,EN_F0-Saturday,CROWN HEIGHTS RALPH AV,0,B450036
Q56,EN_F0-Saturday-017500_Q56_X54,EN_F0-Saturday,JAMAICA 170 ST via JAMAICA AV,0,Q560570
B15,EN_F0-Saturday-018000_B15_101,EN_F0-Saturday,BED-STUY WOODHULL HOSPITAL,1,B150253
B15,EN_F0-Saturday-018000_B15_105,EN_F0-Saturday,JFK AIRPORT,0,B150003
